symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,xlarge_inflow,xlarge_outflow,xlarge_net_inflow,large_inflow,large_outflow,large_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,xlarge_net_flow_ratio,large_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0420,2026-05-06T00:00:00Z,466008,464266,467260,461496,463550,716,0.15,13070935,5627021303,1.23,1.44,0.00,0,5920357,7150579,702887584000,519070464000,190191600,1006294256,869097776,137196480,1446577616,1393582496,52995120,1481002736,1502233648,-21230912,1575748192,1744708848,-168960656,3.38,2.44,0.94,-0.38,-3.00,0,14,8,6,0,0,0,35.83,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0421,2026-05-06T00:00:00Z,878057,879148,879599,874117,877942,1206,0.14,7801953,4359759138,0.60,1.17,0.00,0,3515876,4286077,823603392000,749999232000,100991824,465624544,440051872,25572672,948158816,872739664,75419152,1315446352,1300709552,14736800,1555793504,1671522144,-115728640,2.32,0.59,1.73,0.34,-2.65,0,36,16,13,7,0,0,16.79,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0422,2026-05-06T00:00:00Z,788765,789874,791520,786326,787936,1938,0.25,8012894,8030145743,1.51,1.03,0.00,0,4010464,4002430,707212720000,601643152000,-7664240,705845200,750405904,-44560704,1802871616,1765975152,36896464,2458504944,2424621936,33883008,2919734608,2945860672,-26126064,-0.10,-0.55,0.46,0.42,-0.33,0,47,29,17,1,0,0,29.97,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0424,2026-05-06T00:00:00Z,2969378,2978511,2988786,2962005,2972830,5681,0.19,4911223,4381674398,1.35,1.13,0.00,0,2420617,2490605,317795248000,269823808000,54428432,427567424,398507952,29059472,1114734672,1089365712,25368960,1280841456,1270008320,10833136,1488551024,1553812608,-65261584,1.24,0.66,0.58,0.25,-1.49,0,23,14,7,2,0,0,119.19,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0425,2026-05-06T00:00:00Z,2877172,2896035,2906918,2877172,2865536,30499,1.06,32062744,26177742871,1.38,1.07,0.00,0,15682839,16379905,1499230752000,1319137568000,-389744320,3670300800,4158061888,-487761088,6332820480,6234803712,98016768,7931716096,7572016128,359699968,7658223616,7627510272,30713344,-1.49,-1.86,0.37,1.37,0.12,0,68,46,21,1,0,0,11.55,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0427,2026-05-06T00:00:00Z,1021047,1040303,1040642,1021047,1016845,23458,2.31,103716284,78934109689,2.31,0.99,0.00,0,54688054,49028230,4384531456000,3683007504000,4322745344,13421666560,9242360064,4179306496,17654406656,17510967808,143438848,22556376320,24795800576,-2239424256,23368600064,25424528640,-2055928576,5.48,5.29,0.18,-2.84,-2.60,0,143,121,20,2,0,0,21.44,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0428,2026-05-06T00:00:00Z,2094689,2142262,2142954,2094689,2082245,60017,2.88,96610606,69549730242,2.29,0.99,0.00,0,51282148,45328458,4077596928000,3392194880000,4360381184,12575571200,8266203904,4309367296,15397127936,15346114048,51013888,19586880000,21744272384,-2157392384,20463425536,22666414592,-2202989056,6.27,6.20,0.07,-3.10,-3.17,0,111,104,6,1,0,0,21.21,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0429,2026-05-06T00:00:00Z,1145201,1146495,1146931,1139143,1141374,5121,0.45,8657362,10359733162,1.54,1.23,0.00,0,4108928,4548434,667867344000,555170960000,-251010800,1128453056,1403847840,-275394784,2501869840,2477485856,24383984,3280201136,3020537264,259663872,3219357296,3237449824,-18092528,-2.42,-2.66,0.24,2.51,-0.17,0,51,28,21,2,0,0,19.91,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0433,2026-05-06T00:00:00Z,1566051,1567694,1567972,1559243,1563851,3843,0.25,26010431,23061663591,2.65,1.05,0.00,0,12666616,13343815,1393529408000,1078308752000,-182976048,1985719568,2271540544,-285820976,5430121984,5327277056,102844928,7117765888,7131559168,-13793280,7936192256,7757422848,178769408,-0.79,-1.24,0.45,-0.06,0.78,0,115,67,40,8,0,0,94.73,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0436,2026-05-06T00:00:00Z,1507412,1509841,1510717,1498201,1505108,4733,0.31,20903664,18483640077,2.92,1.12,0.00,0,10387792,10515871,713499248000,640761344000,-294289056,1294678560,1473213040,-178534480,3878524160,3994278736,-115754576,5797176320,5564353280,232823040,7066417408,7006498560,59918848,-1.59,-0.97,-0.63,1.26,0.32,0,112,50,58,4,0,0,30.22,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0437,2026-05-06T00:00:00Z,1386604,1404088,1404776,1374273,1393401,10687,0.77,14648306,14733008916,1.40,1.01,0.00,0,7771862,6876444,2384910944000,1906818384000,-85240064,1454947824,1387411184,67536640,3407972640,3560749344,-152776704,4378040064,4546685696,-168645632,5299743488,5045857792,253885696,-0.58,0.46,-1.04,-1.14,1.72,0,33,23,8,2,0,0,22.50,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0438,2026-05-06T00:00:00Z,2877903,2884871,2885304,2870989,2884810,61,0.00,21859235,47920725783,2.34,1.15,0.00,0,10961608,10897628,4281589328000,4115247680000,-1860815872,5332882176,5817152000,-484269824,11290591744,12667137792,-1376546048,15683712768,14869707776,814004992,13871037440,12832951040,1038086400,-3.88,-1.01,-2.87,1.70,2.17,0,130,60,66,4,0,0,23.18,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0440,2026-05-06T00:00:00Z,5255440,5263022,5272323,5235892,5245739,17283,0.33,7309754,9764131977,2.61,1.14,0.00,0,3520706,3789048,538457168000,438940832000,95819424,841061104,708509440,132551664,1938339376,1975071616,-36732240,2920954944,2869500080,51454864,3781615456,3949577648,-167962192,0.98,1.36,-0.38,0.53,-1.72,0,76,45,30,1,0,0,44.82,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0447,2026-05-06T00:00:00Z,3296452,3361804,3382115,3296452,3263328,98476,3.02,58179351,115604371066,5.61,1.31,0.00,0,31539588,26639763,2208584784000,1895742464000,2090070272,18954656256,16531676928,2422979328,29675236864,30008145920,-332909056,34110865920,36764235008,-2653369088,30902757888,30322246656,580511232,1.81,2.10,-0.29,-2.30,0.50,0,147,124,20,3,0,0,138.33,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0448,2026-05-06T00:00:00Z,2472991,2516506,2539634,2472991,2443231,73275,3.00,28654008,202840606384,6.10,1.12,0.00,0,15008917,13645091,4129502928000,3625967408000,-274672128,51120093184,49011915520,2108177664,55454461184,57837310976,-2382849792,60062485760,58154524160,1907961600,31843712256,33499390720,-1655678464,-0.14,1.04,-1.17,0.94,-0.82,0,90,77,11,2,0,0,83.65,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0450,2026-05-06T00:00:00Z,1224884,1235274,1235701,1220368,1219663,15611,1.28,17241052,14854089461,1.08,1.38,0.00,0,9027327,8213724,1276519616000,1072361248000,582412400,2571382912,2218400544,352982368,3582272896,3352842864,229430032,4239757648,4094222368,145535280,4083713744,4821261056,-737547312,3.92,2.38,1.54,0.98,-4.97,0,37,28,4,5,0,0,13.47,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0451,2026-05-06T00:00:00Z,1526572,1538179,1541829,1518433,1519520,18659,1.23,45903432,26001935338,2.37,1.36,0.00,0,22925109,22978323,1094011808000,986539264000,518182144,4452805120,3785338880,667466240,6330925056,6480209152,-149284096,7231726848,7420147712,-188420864,7258867968,7588629504,-329761536,1.99,2.57,-0.57,-0.72,-1.27,0,92,59,30,3,0,0,-5.54,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0454,2026-05-06T00:00:00Z,2216078,2243054,2247041,2216078,2203348,39706,1.80,15312929,30067180015,5.16,1.00,0.00,0,7989012,7323918,750209552000,590064000000,-230686320,3816333168,4054419424,-238086256,7480562176,7473162240,7399936,9327523584,9148023552,179500032,8724426240,8691898112,32528128,-0.77,-0.79,0.02,0.60,0.11,0,78,60,16,2,0,0,87.46,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0456,2026-05-06T00:00:00Z,2533516,2558731,2562187,2533516,2527311,31420,1.24,18339500,38890478215,2.28,0.98,0.00,0,9177185,9162315,2149931008000,1891560528000,1166586368,5518502912,4662087936,856414976,9831467520,9521296128,310171392,11879378176,12141140480,-261762304,10674749184,11570057728,-895308544,3.00,2.20,0.80,-0.67,-2.30,0,108,80,25,3,0,0,22.57,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0457,2026-05-06T00:00:00Z,4317044,4375572,4380901,4317044,4272998,102574,2.40,34653028,68496484036,3.84,1.09,0.00,0,18312236,16340792,2018572288000,1843390656000,1306491904,9417704448,8194577408,1223127040,16305438208,16222073344,83364864,20630341888,21744213248,-1113871360,20468376064,20620176896,-151800832,1.91,1.79,0.12,-1.63,-0.22,0,140,126,12,2,0,0,44.24,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0458,2026-05-06T00:00:00Z,2148090,2154603,2168493,2143242,2138436,16167,0.76,3995218,19231747627,2.83,0.91,0.00,0,1983168,2012051,519993248000,359265680000,-68473504,3979668320,4603549440,-623881120,5888321024,5332913408,555407616,5258560768,5032685056,225875712,3539641664,3733810320,-194168656,-0.36,-3.24,2.89,1.17,-1.01,0,64,37,25,2,0,0,106.62,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0459,2026-05-06T00:00:00Z,4782416,4896199,4949182,4782416,4706495,189704,4.03,19759640,116946659899,5.58,1.09,0.00,0,10022312,9737328,2683671824000,2335909792000,-1461510912,24947992064,26083149056,-1135156992,31210671360,31537025280,-326353920,32688382720,32270477568,417905152,25640765696,24566296064,1074469632,-1.25,-0.97,-0.28,0.36,0.92,0,64,58,5,1,0,0,68.84,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0464,2026-05-06T00:00:00Z,762556,761817,762863,753525,767482,-5665,-0.74,24950126,24762887031,0.67,0.97,0.00,0,11388396,13561730,5726146304000,3551728080000,-1110794096,2988002640,3560341952,-572339312,5626256896,6164711680,-538454784,7469563392,7234545664,235017728,8061494016,7200126208,861367808,-4.49,-2.31,-2.17,0.95,3.48,0,50,14,36,0,0,0,16.53,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0465,2026-05-06T00:00:00Z,3841653,3863756,3873766,3840868,3833541,30215,0.79,25290866,46870531249,2.51,0.98,0.00,0,12316620,12974246,2486792576000,1860155488000,-525008384,5393370880,5861815808,-468444928,11571025920,11627589376,-56563456,14646502656,15008693248,-362190592,14156034560,13271586048,884448512,-1.12,-1.00,-0.12,-0.77,1.89,0,160,96,58,6,0,0,59.56,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0470,2026-05-06T00:00:00Z,1133009,1138334,1139327,1131781,1132263,6071,0.54,11725107,9139972402,3.72,1.12,0.00,0,5876078,5849028,286315792000,249526590000,336891952,1131749344,858934416,272814928,2148414384,2084337360,64077024,2760985136,2822039152,-61054016,2848168448,3118395344,-270226896,3.69,2.98,0.70,-0.67,-2.96,0,40,22,17,1,0,0,-29.87,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0471,2026-05-06T00:00:00Z,2070700,2086838,2091275,2069398,2070771,16067,0.78,6532978,7938729083,2.42,0.94,0.00,0,3358054,3174923,328103280000,282588816000,105845024,687614160,675283168,12330992,1957802032,1864288000,93514032,2520559904,2408398800,112161104,2509010368,2690536208,-181525840,1.33,0.16,1.18,1.41,-2.29,0,27,17,8,2,0,0,59.56,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0473,2026-05-06T00:00:00Z,14050709,14240944,14309157,14050709,14030066,210878,1.50,35930817,41680694555,1.35,1.39,0.00,0,19262364,16668454,3573273296000,3035187248000,609561344,9064996864,8601871872,463124992,11048606208,10902169856,146436352,11374202368,11972629248,-598426880,9397920512,9409055232,-11134720,1.46,1.11,0.35,-1.44,-0.03,0,49,47,1,1,0,0,15.11,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0474,2026-05-06T00:00:00Z,138354,138043,139386,137293,138147,-104,-0.08,2817054,10925852403,0.37,1.18,0.00,0,1265510,1551544,2985942192000,2038818288000,-256560304,2134821200,2115215904,19605296,3159816576,3435982176,-276165600,2989134160,2928908096,60226064,2401319840,2204985616,196334224,-2.35,0.18,-2.53,0.55,1.80,0,5,1,4,0,0,0,7.27,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0475,2026-05-06T00:00:00Z,418768,415690,418768,414202,418931,-3241,-0.77,40419103,33749048944,0.30,1.23,0.00,0,17859487,22559617,15052863744000,9983382016000,-1337083392,6260304640,7561733120,-1301428480,7907591168,7943246080,-35654912,9480746496,8907389440,573357056,9525172992,8761446656,763726336,-3.96,-3.86,-0.11,1.70,2.26,0,42,4,35,3,0,0,6.87,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0476,2026-05-06T00:00:00Z,1762348,1775494,1779984,1762348,1757087,18407,1.05,7491032,8969522222,3.58,1.34,0.00,0,3727838,3763194,306439120000,271590080000,156116976,914488928,824308128,90180800,2174715280,2108779104,65936176,2720130816,2768987344,-48856528,2907629696,3035819472,-128189776,1.74,1.01,0.74,-0.54,-1.43,0,38,26,11,1,0,0,122.76,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
BK0477,2026-05-06T00:00:00Z,4284913,4284019,4292846,4268957,4332007,-47988,-1.11,4467843,23398692639,1.46,1.27,0.00,0,2114195,2353648,2978154848000,2884456144000,-1922416336,3245594928,3640024576,-394429648,5940734720,7468721408,-1527986688,8170043904,7250378496,919665408,4968809728,3966058880,1002750848,-8.22,-1.69,-6.53,3.93,4.29,0,39,7,30,2,0,0,21.53,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-05-06T17:26:42+08:00
