symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,super_inflow,super_outflow,super_net_inflow,big_inflow,big_outflow,big_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,super_net_flow_ratio,big_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0420,2025-09-17T00:00:00Z,506804,514235,515577,505224,506970,7265,1.43,15422228,6590969574,1.61,1.52,0.00,0,9167062,6255166,795607184000,558497488000,107079392,1399084288,1091428320,307655968,1649762080,1850338656,307655968,1793276160,1998717648,-205441488,1673653408,1575291312,98362096,1.62,4.67,,-3.12,1.49,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-09-18T02:31:00.108+08:00
BK0421,2025-09-17T00:00:00Z,909010,908126,910293,904850,910321,-2195,-0.24,6558714,3965797770,0.65,1.03,0.00,0,3085661,3473053,703856784000,627956112000,-201023408,423756208,563718704,-139962496,885663856,946724768,-139962496,1247316416,1234993104,12323312,1312996080,1124295984,188700096,-5.07,-3.53,,0.31,4.76,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-09-18T02:30:59.561+08:00
BK0422,2025-09-17T00:00:00Z,804814,798559,805525,797730,807396,-8837,-1.09,12798925,11591123232,1.45,1.20,0.00,0,5787894,7011031,968151072000,834622640000,-641033856,1029407952,1359895152,-330487200,2580941008,2891487664,-330487200,3837314352,3786757136,50557216,3723781088,3185062800,538718288,-5.53,-2.85,,0.44,4.65,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-09-18T02:31:01.538+08:00
BK0424,2025-09-17T00:00:00Z,2980508,2962114,2980508,2951679,2979835,-17721,-0.59,7085166,4862430753,1.58,0.89,0.00,0,3294420,3790746,388240048000,335569520000,-204722848,374167648,480988704,-106821056,1082808544,1180710336,-106821056,1616306208,1557562016,58744192,1715027776,1569049136,145978640,-4.21,-2.20,,1.21,3.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-09-18T02:30:58.085+08:00
BK0425,2025-09-17T00:00:00Z,2758738,2774377,2779867,2737620,2756950,17427,0.63,50670885,25903799718,2.24,1.68,0.00,0,27310446,23360439,1523447248000,1319066624000,-537443328,5067410176,4949531392,117878784,5749450752,6404772864,117878784,7191166720,7360213248,-169046528,6997912832,6292642560,705270272,-2.07,0.46,,-0.65,2.72,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-09-18T02:30:59.565+08:00
BK0427,2025-09-17T00:00:00Z,871159,872885,874310,869678,872558,327,0.04,4106561,2354493304,1.36,1.07,0.00,0,2246646,1859915,192052378000,181591624000,23424153,255942431,239554310,16388121,579097248,572061216,16388121,742350384,757468432,-15118048,726502288,734808400,-8306112,0.99,0.70,,-0.64,-0.35,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-09-18T02:31:02.446+08:00
BK0428,2025-09-17T00:00:00Z,1770830,1781645,1784139,1765342,1771565,10080,0.57,44467538,26357376921,1.16,1.02,0.00,0,22378478,22089061,3421711216000,2849801616000,-417583232,4775393024,4291470464,483922560,6095459840,6996965632,483922560,7588718336,7919183104,-330464768,7435401216,6687353344,748047872,-1.58,1.84,,-1.25,2.84,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-09-18T02:30:59.141+08:00
BK0429,2025-09-17T00:00:00Z,1197384,1208570,1209145,1194672,1198485,10085,0.84,6438605,10990052267,1.16,1.05,0.00,0,3223902,3214703,766531728000,635214816000,270545504,1144634112,1022444736,122189376,2762389376,2614033248,122189376,3582455792,3732392560,-149936768,3273969136,3388477056,-114507920,2.46,1.11,,-1.36,-1.04,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-09-18T02:31:02.789+08:00
BK0433,2025-09-17T00:00:00Z,1612414,1599036,1612864,1592822,1613818,-14782,-0.92,19195100,18480093991,2.44,0.78,0.00,0,8471419,10723681,1189079424000,1001086464000,-1022178304,1596880224,2237244512,-640364288,4329463296,4711277312,-640364288,6122251008,5881896704,240354304,5974259456,5248252672,726006784,-5.53,-3.47,,1.30,3.93,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-09-18T02:31:00.99+08:00
BK0436,2025-09-17T00:00:00Z,1345533,1340495,1347332,1338923,1344382,-3887,-0.29,21184604,14380129448,3.59,1.13,0.00,0,9600085,11584519,552971264000,500678624000,-429448256,1257404384,1358380016,-100975632,3156068480,3484541104,-100975632,4670420224,4838846976,-168426752,4856047616,4275407024,580640592,-2.99,-0.70,,-1.17,4.04,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-09-18T02:31:00.445+08:00
