symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,super_inflow,super_outflow,super_net_inflow,big_inflow,big_outflow,big_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,super_net_flow_ratio,big_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0438,2026-04-01T00:00:00Z,2799151,2800407,2803023,2774935,2770692,29715,1.07,15164260,25888078168,1.63,1.12,0.00,0,7553236,7611023,4422479104000,4254663680000,353662720,2820796816,2571706512,249090304,6014012928,5909440512,104572416,8486562560,8857311488,-370748928,7896777472,7881789696,14987776,1.37,0.96,0.40,-1.43,0.06,0,130,104,22,4,0,0,20.69,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.68362+08:00
BK0440,2026-04-01T00:00:00Z,5145092,5152834,5164612,5096667,5080639,72195,1.42,4304295,5323077770,1.54,0.91,0.00,0,2134834,2169461,540814016000,434442624000,-70324198,201212699,219668609,-18455910,898215296,950083584,-51868288,1626129568,1728900864,-102771296,2464205552,2292239072,171966480,-1.32,-0.35,-0.97,-1.93,3.23,0,76,63,12,1,0,0,31.34,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.756238+08:00
BK0447,2026-04-01T00:00:00Z,3272614,3264835,3280142,3242424,3204043,60792,1.90,39558826,76242482563,3.83,0.98,0.00,0,19700576,19858249,2082076960000,1801389632000,1814629120,8969051392,7768637952,1200413440,19219178240,18604962560,614215680,24515672320,25332741120,-817068800,21769771264,22765841408,-996070144,2.38,1.57,0.81,-1.07,-1.31,0,147,125,21,1,0,0,113.81,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.486484+08:00
BK0448,2026-04-01T00:00:00Z,2198187,2194947,2203396,2166722,2148031,46916,2.18,21844269,125455150862,4.66,1.02,0.00,0,10952213,10892056,3306979632000,2892884704000,5479974912,28853041408,22972141568,5880899840,33586031616,33986956544,-400924928,37919826176,41650584320,-3730758144,21435378176,23164717824,-1729339648,4.37,4.69,-0.32,-2.97,-1.38,0,90,76,13,1,0,0,83.57,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.495336+08:00
BK0450,2026-04-01T00:00:00Z,1242302,1248767,1260456,1242302,1228819,19948,1.62,17855440,14474779671,1.12,0.97,0.00,0,8609135,9246306,1299713312000,1085477776000,748814064,3466580896,2435635600,1030945296,3240680880,3522812112,-282131232,3676403904,4151519520,-475115616,3769082576,4024789728,-255707152,5.17,7.12,-1.95,-3.28,-1.77,0,37,26,8,3,0,0,13.48,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.631664+08:00
BK0451,2026-04-01T00:00:00Z,1468975,1452179,1469965,1444031,1451340,839,0.06,22917407,11298683686,1.18,0.92,0.00,0,10462437,12454970,1020392048000,912581120000,126833856,1167041600,1111708432,55333168,2693640704,2622140016,71500688,3397368192,3437460128,-40091936,3743254928,3829996848,-86741920,1.12,0.49,0.63,-0.35,-0.77,0,92,48,29,15,0,0,-4.32,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.775682+08:00
BK0454,2026-04-01T00:00:00Z,2043144,2045778,2051545,2027473,2005043,40735,2.03,15604674,22713828841,5.26,1.19,0.00,0,7574961,8029713,667284656000,525509296000,-429200816,2912448576,3010534640,-98086064,5030253312,5361368064,-331114752,6757961216,6879453440,-121492224,7207149568,6663418880,543730688,-1.89,-0.43,-1.46,-0.53,2.39,0,78,67,10,1,0,0,86.27,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.314141+08:00
BK0456,2026-04-01T00:00:00Z,2435715,2447076,2448468,2426421,2401269,45807,1.91,14006427,24827625946,1.74,1.01,0.00,0,7391104,6615324,2035488304000,1788212768000,665366352,2569865056,2198980112,370884944,6089154816,5794673408,294481408,7874324736,8307763968,-433439232,7605684736,7827225344,-221540608,2.68,1.49,1.19,-1.75,-0.89,0,108,99,7,2,0,0,16.28,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.640645+08:00
BK0457,2026-04-01T00:00:00Z,4154495,4134244,4160018,4103599,4080036,54208,1.33,30534013,48548761931,3.38,0.89,0.00,0,14591164,15942850,1922020864000,1760035024000,-498603008,4940685056,4999113728,-58428672,10524350208,10964524544,-440174336,15069587712,15642491136,-572903424,16636641536,15559166976,1077474560,-1.03,-0.12,-0.91,-1.18,2.22,0,139,116,22,1,0,0,43.27,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.635728+08:00
BK0458,2026-04-01T00:00:00Z,1934290,1933056,1935985,1911112,1897841,35215,1.86,2687408,7823358047,1.93,0.90,0.00,0,1375633,1311775,369316352000,291465648000,114654384,819726512,720789664,98936848,1832331392,1816613856,15717536,2653167408,2869267808,-216100400,2258703520,2151595888,107107632,1.47,1.26,0.20,-2.76,1.37,0,63,56,7,0,0,0,76.90,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.500804+08:00
BK0459,2026-04-01T00:00:00Z,3897767,3937097,3994430,3888979,3792879,144218,3.80,11787024,53123300278,3.34,1.11,0.00,0,5945475,5841549,1916155680000,1711508544000,1850866432,9691697152,8527172096,1164525056,13542427136,12856085760,686341376,15435071232,16130272256,-695201024,13041156352,14165152768,-1123996416,3.48,2.19,1.29,-1.31,-2.12,0,64,61,2,1,0,0,55.61,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.802849+08:00
BK0464,2026-04-01T00:00:00Z,740895,740860,750620,738879,738278,2582,0.35,25457624,25134780959,0.69,0.84,0.00,0,12523834,12933790,5772778240000,3565035088000,-1587612272,3005627856,3598097984,-592470128,5522326272,6517468416,-995142144,7722747648,7652632064,70115584,8073260800,6558363136,1514897664,-6.32,-2.36,-3.96,0.28,6.03,0,50,30,20,0,0,0,17.35,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.204535+08:00
BK0465,2026-04-01T00:00:00Z,3811195,3948705,3950129,3787619,3772248,176457,4.68,36644275,67115821516,3.65,1.58,0.00,0,20121541,16522735,2582318816000,1931521472000,3291895808,8833687552,6348730880,2484956672,16903622912,16096683776,806939136,21070597888,22365566976,-1294969088,18743786752,20670183936,-1926397184,4.90,3.70,1.20,-1.93,-2.87,0,160,158,2,0,0,0,67.38,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.646311+08:00
BK0470,2026-04-01T00:00:00Z,1097439,1094659,1099274,1087263,1079808,14851,1.38,5648081,5132651270,1.79,0.88,0.00,0,2798942,2849139,276630944000,241736442000,106830032,373678336,298051888,75626448,1194648592,1163445008,31203584,1581127888,1653371792,-72243904,1839811152,1875807376,-35996224,2.08,1.47,0.61,-1.41,-0.70,0,40,35,4,1,0,0,-27.48,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.539493+08:00
BK0471,2026-04-01T00:00:00Z,1917272,1913804,1928851,1901924,1887060,26744,1.42,6787670,5858698270,2.54,0.85,0.00,0,3493144,3294526,302241328000,257819358000,-100014896,527696720,551677712,-23980992,1378847952,1454881856,-76033904,1809510432,1837211552,-27701120,1951937040,1823231264,128705776,-1.71,-0.41,-1.30,-0.47,2.20,0,27,23,4,0,0,0,49.80,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.849177+08:00
