symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,xlarge_inflow,xlarge_outflow,xlarge_net_inflow,large_inflow,large_outflow,large_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,xlarge_net_flow_ratio,large_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0606,2026-08-04T00:00:00Z,202804,204065,204706,201746,202346,1719,0.85,10745695,13588349789,1.53,0.90,0.00,0,5282905,5462790,2119145776000,595638032000,-325201648,807202464,1036337600,-229135136,2883722064,2979788576,-96066512,4498117632,4584040704,-85923072,4921398784,4542014976,379383808,-2.39,-1.69,-0.71,-0.63,2.79,0,51,30,20,1,0,0,14.11,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0610,2026-08-04T00:00:00Z,246067,244425,246108,244114,245770,-1345,-0.55,36003510,100253683626,0.50,1.02,0.00,0,15171543,20831967,16602336256000,11456814592000,-1275093760,18437243648,18320892416,116351232,26000997120,27392442112,-1391444992,29208532480,29424696832,-216164352,24678293248,23187035136,1491258112,-1.27,0.12,-1.39,-0.22,1.49,0,50,16,34,0,0,0,10.01,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0611,2026-08-04T00:00:00Z,209878,208852,209963,208287,209736,-884,-0.42,61034778,195111348624,0.38,0.98,0.00,0,24448718,36586060,27876865536000,22440516352000,-3723293696,45296453888,42778273536,2518180352,58061371648,64302845696,-6241474048,53795082752,53999185920,-204103168,34097268992,30169871872,3927397120,-1.91,1.29,-3.20,-0.10,2.01,0,50,14,34,2,0,0,11.41,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0612,2026-08-04T00:00:00Z,172325,171750,172403,171058,172037,-287,-0.17,153956687,365945186691,0.55,0.98,0.00,0,63940956,90015731,48995516672000,36149249536000,-1508883200,71713120256,66879658752,4833461504,101665873920,108008218624,-6342344704,108012752896,109819211776,-1806458880,78021107712,74705760256,3315347456,-0.41,1.32,-1.73,-0.49,0.91,0,180,60,116,4,0,0,11.96,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0614,2026-08-04T00:00:00Z,687825,695212,697361,687780,685570,9642,1.41,7388380,9608226488,2.41,0.96,0.00,0,3636681,3751699,388372336000,324980000000,-59133984,551482832,500551072,50931760,1853113696,1963179440,-110065744,3130277264,3224446784,-94169520,3867064976,3714849248,152215728,-0.62,0.53,-1.15,-0.98,1.58,0,50,34,14,2,0,0,75.39,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0615,2026-08-04T00:00:00Z,211532,212597,213892,211532,210639,1958,0.93,31668889,29665406095,2.33,1.00,0.00,0,16022145,15646744,1831116704000,1714715168000,-519042112,2240823440,2321933776,-81110336,6020109824,6458041600,-437931776,9868838912,9909191168,-40352256,10957113344,10399364864,557748480,-1.75,-0.27,-1.48,-0.14,1.88,0,144,78,58,8,0,0,32.26,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0617,2026-08-04T00:00:00Z,252321,255666,256394,251295,250994,4672,1.86,20336972,30745691581,2.69,1.03,0.00,0,10079332,10257639,980842432000,882857056000,643059856,3739745456,3065994784,673750672,7057850880,7088541696,-30690816,9315133696,9662414080,-347280384,10099938560,10412213760,-312275200,2.09,2.19,-0.10,-1.13,-1.02,0,69,44,23,2,0,0,294.02,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0619,2026-08-04T00:00:00Z,762520,782435,785148,758231,757781,24654,3.25,16196370,59748232215,3.44,1.00,0.00,0,8529775,7666595,1304746864000,1113967088000,5531951872,9560599808,5959703808,3600896000,14691532288,12760476416,1931055872,18512136192,21843121920,-3330985728,15677993216,17862964736,-2184971520,9.26,6.03,3.23,-5.58,-3.66,0,76,67,9,0,0,0,79.80,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0622,2026-08-04T00:00:00Z,568534,582781,584981,564825,561038,21743,3.88,2642309,4092066762,3.78,1.01,0.00,0,1375761,1266548,116501647000,114481753000,405645648,550177952,366232000,183945952,958251552,736551856,221699696,1229019952,1277818880,-48798928,1284029584,1640876304,-356846720,9.91,4.50,5.42,-1.19,-8.72,0,9,7,2,0,0,0,47.75,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0623,2026-08-04T00:00:00Z,313739,315119,315679,312081,311936,3183,1.02,36516820,52681082511,1.92,1.05,0.00,0,17090633,19426186,2213969824000,1928540592000,769677824,6526019584,5749116672,776902912,12026290176,12033515264,-7225088,16408402432,16612324864,-203922432,16645182976,17214793728,-569610752,1.46,1.47,-0.01,-0.39,-1.08,0,112,59,46,7,0,0,22.92,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
