symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,super_inflow,super_outflow,super_net_inflow,big_inflow,big_outflow,big_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,super_net_flow_ratio,big_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0420,2026-02-02T00:00:00Z,547758,540636,556021,540357,546842,-6206,-1.13,12520409,6590737466,1.17,1.25,0.00,0,5882069,6638340,838078064000,620843984000,-36060160,866184336,902182080,-35997744,1563267232,1563329648,-62416,1932335488,1781093888,151241600,2058351424,2173532896,-115181472,-0.55,-0.55,0.00,2.29,-1.75,0,14,2,11,1,0,0,162.32,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-02-02T15:54:47.026797+08:00
BK0421,2026-02-02T00:00:00Z,919440,911964,926245,911125,918424,-6460,-0.70,8482861,4879820362,0.84,1.11,0.00,0,4067068,4415792,683446448000,611010752000,110314608,689755264,531177056,158578208,998476912,1046740512,-48263600,1423741632,1522943504,-99201872,1689630400,1700743152,-11112752,2.26,3.25,-0.99,-2.03,-0.23,0,30,6,24,0,0,0,15.73,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-02-02T15:54:54.041188+08:00
BK0422,2026-02-02T00:00:00Z,814353,801379,820675,801379,818897,-17518,-2.14,12847763,9788357303,1.45,1.01,0.00,0,5093779,7753984,898957920000,776712720000,-466889536,783716384,1042960896,-259244512,2111240448,2318885472,-207645024,3109733968,2909692240,200041728,3589004496,3334410448,254594048,-4.77,-2.65,-2.12,2.04,2.60,0,56,7,47,2,0,0,18.27,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-02-02T15:54:49.351948+08:00
BK0424,2026-02-02T00:00:00Z,3202744,3160883,3218064,3158661,3234980,-74097,-2.29,8663152,7082086488,1.93,0.92,0.00,0,3846124,4817028,403112160000,344936752000,-194105968,580315664,601424208,-21108544,1426562656,1599560080,-172997424,2313915984,2234889472,79026512,2646381136,2531301696,115079440,-2.74,-0.30,-2.44,1.12,1.62,0,28,3,24,1,0,0,34.09,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-02-02T15:54:50.624233+08:00
BK0425,2026-02-02T00:00:00Z,2868378,2808593,2880104,2808593,2880718,-72125,-2.50,46237320,29281643235,2.02,0.78,0.00,0,18569947,27667373,1490050448000,1310979600000,-2753325472,3764223840,5993801728,-2229577888,6745110784,7268858368,-523747584,9044222464,7659956736,1384265728,9119372800,7742095872,1377276928,-9.40,-7.61,-1.79,4.73,4.70,0,67,7,60,0,0,0,9.13,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-02-02T15:54:57.009126+08:00
BK0427,2026-02-02T00:00:00Z,948691,940053,959020,940053,955112,-15059,-1.58,6033398,4066079261,2.00,1.68,0.00,0,2907201,3126197,201747271000,187461951000,-110705216,313542336,394314384,-80772048,905326976,935260144,-29933168,1256309968,1187356640,68953328,1414633072,1372881168,41751904,-2.72,-1.99,-0.74,1.70,1.03,0,23,3,19,1,0,0,19.07,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-02-02T15:54:49.617831+08:00
BK0428,2026-02-02T00:00:00Z,1856887,1835357,1878764,1834850,1861153,-25796,-1.39,56506200,32221022363,1.45,0.98,0.00,0,23300964,33205236,3448267232000,2826762752000,-915857808,4037059696,4912046848,-874987152,7764411136,7805281792,-40870656,9960190720,9150841600,809349120,9918365696,9811857152,106508544,-2.84,-2.72,-0.13,2.51,0.33,0,86,13,72,1,0,0,18.60,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-02-02T15:55:03.248306+08:00
BK0429,2026-02-02T00:00:00Z,1185493,1166705,1189966,1165750,1188497,-21792,-1.83,6739942,8409927936,1.21,0.79,0.00,0,2903903,3836038,692867696000,572727424000,-282556432,598309936,870648880,-272338944,1808533376,1818750864,-10217488,2766023312,2398592320,367430992,3109289344,3199043504,-89754160,-3.36,-3.24,-0.12,4.37,-1.07,0,51,6,44,1,0,0,18.85,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-02-02T15:54:58.927976+08:00
BK0433,2026-02-02T00:00:00Z,1665085,1633355,1666145,1632737,1692432,-59077,-3.49,40148200,34896797348,5.02,1.17,0.00,0,17107223,23040977,1075509584000,925131008000,-1134347728,2694033056,3571840624,-877807568,8090405120,8346945280,-256540160,11306674176,11400172544,-93498368,11346572032,10200132864,1146439168,-3.25,-2.52,-0.74,-0.27,3.29,0,91,3,88,0,0,0,22.78,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-02-02T15:54:57.582886+08:00
BK0436,2026-02-02T00:00:00Z,1491620,1480279,1510931,1480279,1501006,-20727,-1.38,15468071,13833943125,2.62,1.12,0.00,0,6941872,8526199,576988800000,524296112000,-74677200,1120583152,1046528336,74054816,2935847552,3084579568,-148732016,4385740544,4430323712,-44583168,5091075584,4977207552,113868032,-0.54,0.54,-1.08,-0.32,0.82,0,98,21,76,1,0,0,44.49,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-02-02T15:54:52.979252+08:00
BK0437,2026-02-02T00:00:00Z,1260665,1209918,1261733,1208797,1288388,-78470,-6.09,23647539,18844787660,2.23,1.13,0.00,0,9172696,14474842,1842832656000,1547306864000,-748937232,1719826224,2216572960,-496746736,4268205280,4520395776,-252190496,6001886208,5531047424,470838784,6420068864,6141970432,278098432,-3.97,-2.64,-1.34,2.50,1.48,0,34,0,34,0,0,0,15.79,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-02-02T15:54:53.121079+08:00
BK0438,2026-02-02T00:00:00Z,3072530,3043406,3101639,3042796,3091895,-48489,-1.57,17794946,22662159410,2.30,1.08,0.00,0,8118378,9676568,1625621104000,1405711264000,-421614624,1541414336,1625726944,-84312608,4628089600,4965391616,-337302016,7170819840,7275545600,-104725760,8526720256,8053693952,473026304,-1.86,-0.37,-1.49,-0.46,2.09,0,119,25,91,3,0,0,33.98,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-02-02T15:54:49.77614+08:00
BK0440,2026-02-02T00:00:00Z,5502270,5463837,5590783,5461706,5530891,-67054,-1.21,5358890,6380902587,3.33,1.01,0.00,0,2462544,2896346,362728784000,266264914000,-175365104,359015152,358857664,157488,1279753968,1455276560,-175522592,2067644832,2031278432,36366400,2534626224,2398971280,135654944,-2.75,0.00,-2.75,0.57,2.13,0,44,6,38,0,0,0,29.33,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-02-02T15:54:49.969185+08:00
