symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,xlarge_inflow,xlarge_outflow,xlarge_net_inflow,large_inflow,large_outflow,large_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,xlarge_net_flow_ratio,large_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0420,2025-10-09T00:00:00Z,502609,506693,507228,494899,505437,1256,0.25,11977804,5986637619,1.25,1.61,0.00,0,6132324,5845480,783666288000,555216336000,-207208528,813261920,980746704,-167484784,1496366608,1536090352,-167484784,1886136608,1737833840,148302768,1693384576,1634478800,58905776,-3.46,-2.80,,2.48,0.98,0,14,9,5,0,0,0,199.20,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-10-09T12:36:15.089+08:00
BK0421,2025-10-09T00:00:00Z,885439,886635,886796,878866,886258,377,0.04,6036586,3715886284,0.59,1.08,0.00,0,2888946,3147640,690465952000,618013760000,108032400,437827584,397746672,40080912,860611472,792659984,40080912,1235337584,1154686672,80650912,1101528112,1290211440,-188683328,2.91,1.08,,2.17,-5.08,0,30,18,10,2,0,0,16.01,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-10-09T12:36:15.049+08:00
BK0422,2025-10-09T00:00:00Z,772516,774347,774380,767735,771166,3181,0.41,10301697,9788483368,1.17,1.08,0.00,0,5039542,5262156,943506240000,813367824000,-413447920,1021649376,1228360480,-206711104,2262419344,2469156160,-206711104,3148740064,3111584288,37155776,3159673760,2785146720,374527040,-4.22,-2.11,,0.38,3.83,0,55,28,26,1,0,0,18.93,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-10-09T12:36:15.218+08:00
BK0424,2025-10-09T00:00:00Z,2925447,2955604,2956792,2923393,2912278,43326,1.49,9966714,7239383714,2.22,1.46,0.00,0,5348340,4618375,390738032000,337528592000,218720032,774483200,616564880,157918320,1667439440,1606637728,157918320,2272125440,2430017440,-157892000,2391833728,2452661744,-60828016,3.02,2.18,,-2.18,-0.84,0,28,22,6,0,0,0,33.92,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-10-09T12:36:14.869+08:00
BK0425,2025-10-09T00:00:00Z,2732082,2755262,2756407,2731833,2718685,36577,1.35,53914489,31542317785,2.38,1.58,0.00,0,30467200,23447288,1528520624000,1323095888000,1659710720,6345190400,4770773248,1574417152,7952497408,7867203840,1574417152,8750102784,9725326592,-975223808,7716135680,8403693568,-687557888,5.26,4.99,,-3.09,-2.18,0,68,45,20,3,0,0,8.92,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-10-09T12:36:15.057+08:00
BK0427,2025-10-09T00:00:00Z,869675,870782,871992,866465,868909,1873,0.22,4462578,3156769879,1.48,1.07,0.00,0,2362274,2100305,197375467000,186460853000,6309888,290251744,343527760,-53276016,795830880,736244976,-53276016,1053843984,982601824,71242160,951550640,1029102672,-77552032,0.20,-1.69,,2.26,-2.46,0,23,15,6,2,0,0,16.11,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-10-09T12:36:15.349+08:00
BK0428,2025-10-09T00:00:00Z,1750828,1790084,1790084,1750828,1746550,43534,2.49,66102561,38918169974,1.73,1.65,0.00,0,40593858,25508703,3456387008000,2889370304000,1207775232,6696732672,5233348352,1463384320,9798687488,10054296576,1463384320,11374676480,12423946752,-1049270272,10251246848,10409751808,-158504960,3.10,3.76,,-2.70,-0.41,0,85,79,6,0,0,0,19.28,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-10-09T12:36:14.997+08:00
BK0429,2025-10-09T00:00:00Z,1160800,1164557,1166167,1154605,1158083,6474,0.56,6938710,10370714203,1.25,1.29,0.00,0,3707510,3231200,764169136000,631020384000,142929504,1155707776,1067340400,88367376,2502070896,2447508768,88367376,3336389520,3406726688,-70337168,3179721440,3260219120,-80497680,1.38,0.85,,-0.68,-0.78,0,51,30,19,2,0,0,21.08,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-10-09T12:36:15.354+08:00
BK0433,2025-10-09T00:00:00Z,1529839,1531096,1531165,1513640,1531142,-46,0.00,15533796,15643087250,1.97,1.10,0.00,0,7696762,7837034,1140193872000,962494336000,-418377824,1370038704,1612294064,-242255360,3768874416,3944996880,-242255360,5327977984,5004153856,323824128,4784510464,4697647872,86862592,-2.67,-1.55,,2.07,0.56,0,91,44,41,6,0,0,18.67,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-10-09T12:36:15.189+08:00
BK0436,2025-10-09T00:00:00Z,1312834,1305015,1314117,1300408,1308560,-3545,-0.27,13271655,10215321222,2.25,0.85,0.00,0,5971667,7299988,536657728000,486049856000,-100460752,625184448,808651376,-183466928,2237020000,2154013824,-183466928,3581327200,3311418400,269908800,3491117696,3663089904,-171972208,-0.98,-1.80,,2.64,-1.68,0,98,36,60,2,0,0,39.89,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2025-10-09T12:36:15.147+08:00
